text	label
1 8 5 8 2 2 5   A V R - X   4 1 0 0   W   B K E 2   S C H W A R Z[SEP]AVR-X4100Durch seine Endstufe mit 200 Watt pro Kanal erzeugt der neue AVR-X4100W ein kraftvolles Heimkino-Erlebnis und eine besonders detaillierte Musikwiedergabe. Seine Audiosektion dekodiert nicht nur hochauflösende Formate wie Dolby TrueHD und DTS-HD Master Audio, sondern ist durch DTS Neo:X, Audyssey DSX und Dolby Pro Logic IIz in Kombination mit zusätzlichen Height-oder Wide-Lautsprechern auch in der Lage, einen extrem realistischen Klang zu produzieren. Der AVR-X4100W ist mit einem Denon eigenen D.D.S.C.-HD-Schaltkreis mit dem legendären AL24 Processing Plus ausgerüstet. Für die jitterfreie Übertragung von kompatiblen Denon Blu-ray-Playern bietet das System auch die innovative Denon Link HD Technologie. Die Soundqualität des neuen Receivers wurde außerdem durch ein umfassendes, leistungsstarkes Audyssey-Paket einschließlich Audyssey MultEQ XT 32-Raumkalibrierung (Pro Ready) mit Sub EQ HT und LFC weiter verbessert. Dies garantiert eine optimale Hörzone – unterstützt wird die Einmessung dabei von einem mitgelieferten Mikrofonständer.Dolby AtmosDenon bringt als eines der ersten Unternehmen einen AV-Receiver mit der neuesten Dekodierungstechnologie für Dolby Atmos auf den Markt. Mit Dolby Atmos kommt der Sound aus allen Richtungen – sogar von oben – für ein echtes dreidimensionales Klangerlebnis. Dank vier DSP-Engines (Digital Sound Processing) verfügt der AVR-X4100W über die nötige Verarbeitungsleistung für ein mit Audyssey kalibriertes 9-Kanal-Dolby Atmos-Layout. Durch Hinzufügen eines 2-Kanal-Verstärkers kann das Dolby Atmos-Heimkino so anhand einer 5.1.4- oder 7.1.2-Konfiguration erweitert werden.Netzwerkfähigkeit und BedienkonzeptNeben der berühmten Audioqualität von Denon und einzigartigen Klangverarbeitung warten die AVRs der diesjährigen X-Serie mit zahlreichen Anschlussmöglichkeiten auf: Da sie unter anderem mit integriertem WLAN und Bluetooth ausgestattet sind, lassen sie sich ganz einfach mit einem Heimnetzwerk und mobilen Geräten verbinden. Einmal angeschlossen bietet der AVR-X4100W unbegrenzte Möglichkeiten bei der Auswahl der Musikquellen und Wiedergabeoptionen. Nutzer können eigene Musik von Apple iDevices bequem über AirPlay streamen oder auf Musikbibliotheken über DLNA kompatible Geräten wie einem NAS (Network Attached Storage) zugreifen. Darüber hinaus können sie aus Tausenden Internet-Radiosendern wählen und Musik über das neue Spotify Connect hören (Premium-Abonnement erforderlich). Für optimalen Komfort lassen sich über den USB-Anschluss auf der Vorderseite sowohl USB-Speichergeräte als auch iDevices angeschließen. Zur Steuerung all dieser Funktionen steht neben der klassischen Fernbedienung die Denon Remote App für iOS, Android und Kindle Fire zur Verfügung. Und die Installation ist durch einen optimierten Setup-Assistenten und der erweiterten grafischen Menüführung (GUI) ganz einfach durchzuführen.Immer eine gute Verbindung und dabei noch umweltfreundlichAufgrund von insgesamt 8 HDMI-Eingängen und 3 HDMI-Ausgängen können digitale Geräte wie Blu-ray-Player, Gameskonsolen, Medienplayer und Videokameras gleichzeitig an den AVR-X4100W angeschlossen werden. Der erweiterte Videoprozessor des Receivers kann sowohl zukünftige 4K Ultra HD Inhalte mit 50/60 Hz (Full-Rate) als auch 4:4:4 Pure Color 4K Passthrough verarbeiten – zwei Merkmale der neuesten HDMI-Spezifikation. Er ist sogar in der Lage, Standard- und HD-Videoquellen auf eine „Ultra HD“-Auflösung von bis zu 4K mit 50/60 Hz hochzuskalieren.Immer eine gute Verbindung und dabei noch umweltfreundlichAbgerundet werden die Eigenschaften des AVR-X4100W durch die erweiterten Multizone- und Vorverstärkeroptionen sowie durch benutzerdefinierte Installationsbefehle, die das Gerät zu einem echten Unterhaltungssystem für das gesamte Haus machen. Für einen aktiven Beitrag zum Umweltschutz hat Denon zudem einen neuen intelligenten Eco-Modus mit einzigartigem Energieverbrauchsmanagement entwickelt. [SEP] <header>AVR-X4100</header><body>Durch seine Endstufe mit 200 Watt pro Kanal erzeugt der neue AVR-X4100W ein kraftvolles Heimkino-Erlebnis und eine besonders detaillierte Musikwiedergabe. Seine Audiosektion dekodiert nicht nur hochauflösende Formate wie Dolby TrueHD und DTS-HD Master Audio, sondern ist durch DTS Neo:X, Audyssey DSX und Dolby Pro Logic IIz in Kombination mit zusätzlichen Height-oder Wide-Lautsprechern auch in der Lage, einen extrem realistischen Klang zu produzieren. Der AVR-X4100W ist mit einem Denon eigenen D.D.S.C.-HD-Schaltkreis mit dem legendären AL24 Processing Plus ausgerüstet. Für die jitterfreie Übertragung von kompatiblen Denon Blu-ray-Playern bietet das System auch die innovative Denon Link HD Technologie. Die Soundqualität des neuen Receivers wurde außerdem durch ein umfassendes, leistungsstarkes Audyssey-Paket einschließlich Audyssey MultEQ XT 32-Raumkalibrierung (Pro Ready) mit Sub EQ HT und LFC weiter verbessert. Dies garantiert eine optimale Hörzone – unterstützt wird die Einmessung dabei von einem mitgelieferten Mikrofonständer.</body><header>Dolby Atmos</header><body>Denon bringt als eines der ersten Unternehmen einen AV-Receiver mit der neuesten Dekodierungstechnologie für Dolby Atmos auf den Markt. Mit Dolby Atmos kommt der Sound aus allen Richtungen – sogar von oben – für ein echtes dreidimensionales Klangerlebnis. Dank vier DSP-Engines (Digital Sound Processing) verfügt der AVR-X4100W über die nötige Verarbeitungsleistung für ein mit Audyssey kalibriertes 9-Kanal-Dolby Atmos-Layout. Durch Hinzufügen eines 2-Kanal-Verstärkers kann das Dolby Atmos-Heimkino so anhand einer 5.1.4- oder 7.1.2-Konfiguration erweitert werden.</body><header>Netzwerkfähigkeit und Bedienkonzept</header><body>Neben der berühmten Audioqualität von Denon und einzigartigen Klangverarbeitung warten die AVRs der diesjährigen X-Serie mit zahlreichen Anschlussmöglichkeiten auf: Da sie unter anderem mit integriertem WLAN und Bluetooth ausgestattet sind, lassen sie sich ganz einfach mit einem Heimnetzwerk und mobilen Geräten verbinden. Einmal angeschlossen bietet der AVR-X4100W unbegrenzte Möglichkeiten bei der Auswahl der Musikquellen und Wiedergabeoptionen. Nutzer können eigene Musik von Apple iDevices bequem über AirPlay streamen oder auf Musikbibliotheken über DLNA kompatible Geräten wie einem NAS (Network Attached Storage) zugreifen. Darüber hinaus können sie aus Tausenden Internet-Radiosendern wählen und Musik über das neue Spotify Connect hören (Premium-Abonnement erforderlich). Für optimalen Komfort lassen sich über den USB-Anschluss auf der Vorderseite sowohl USB-Speichergeräte als auch iDevices angeschließen. Zur Steuerung all dieser Funktionen steht neben der klassischen Fernbedienung die Denon Remote App für iOS, Android und Kindle Fire zur Verfügung. Und die Installation ist durch einen optimierten Setup-Assistenten und der erweiterten grafischen Menüführung (GUI) ganz einfach durchzuführen.</body><header>Immer eine gute Verbindung und dabei noch umweltfreundlich</header><body>Aufgrund von insgesamt 8 HDMI-Eingängen und 3 HDMI-Ausgängen können digitale Geräte wie Blu-ray-Player, Gameskonsolen, Medienplayer und Videokameras gleichzeitig an den AVR-X4100W angeschlossen werden. Der erweiterte Videoprozessor des Receivers kann sowohl zukünftige 4K Ultra HD Inhalte mit 50/60 Hz (Full-Rate) als auch 4:4:4 Pure Color 4K Passthrough verarbeiten – zwei Merkmale der neuesten HDMI-Spezifikation. Er ist sogar in der Lage, Standard- und HD-Videoquellen auf eine „Ultra HD“-Auflösung von bis zu 4K mit 50/60 Hz hochzuskalieren.</body><header>Immer eine gute Verbindung und dabei noch umweltfreundlich</header><body>Abgerundet werden die Eigenschaften des AVR-X4100W durch die erweiterten Multizone- und Vorverstärkeroptionen sowie durch benutzerdefinierte Installationsbefehle, die das Gerät zu einem echten Unterhaltungssystem für das gesamte Haus machen. Für einen aktiven Beitrag zum Umweltschutz hat Denon zudem einen neuen intelligenten Eco-Modus mit einzigartigem Energieverbrauchsmanagement entwickelt.</body> [SEP] 	252
1 4 5 8 5 0 3   C R - H   7 0 0   D A B - S   S I L B E R[SEP]<header>Streamen Sie Ihre Musik von iPhone und Co</header>Hören Sie CD, Internet-Sender aus aller Welt oder Ihre auf Apple® oder PC gespeicherte Lieblingsmusik – ohne störende Kabel und noch dazu in tadelloser Hifi-Qualität!Denn der neue CR-H700DAB – erhältlich im stilvollen schwarzen oder silberfarbenen Gehäuse mit gebürsteten Aluminium Front- und Seitenblenden – basiert auf TEACs bewährtem CD-Receiver CR-H500NT und verfügt über einen UKW RDS-Tuner, MW, DAB/DAB+*, Internetradio und Phono-Eingang sowie über einen mit erlesenen BurrBrown®-Wandlern bestückten CD-Player und einen Verstärker mit beachtlichen 2 x 40 Watt Ausgangsleistung.Der CR-H700DAB kann problemlos in ein Heimnetzwerk eingebunden werden. Dank Airplay®-Technologie können auch alle iOS®-Produkte mit dem CR-H700DAB kabellos Verbindung aufnehmen, und ihre Musikinhalte werden vom Receiver-eigenen Verstärker in echter Hifi-Qualität wiedergegeben. Das traditionelle Anschließen über den USB-Port ist natürlich auch weiterhin möglich – für eine Musikwiedergabe in bester digitaler Qualität – und auch um bei Bedarf den Akku des Apple®-Modells wieder aufladen zu können.Zur Bedienung der Standardfunktionen des CD-Receivers dient die beigepackte Remote, während die Auswahl und Wiedergabe der Apple®-Musikbibliothek über das iPhone®/iPad® direkt gesteuert wird.Mit Ihrem TEAC CR-H700DAB haben Sie über vTuner Zugriff auf tausende von Radiosendern aus der ganzen Welt, die über Internet ausgestrahlt werden. Ob HipHop aus London, Jazz aus New Orleans, Blues aus Chicago, Samba aus Rio oder Salsa aus Kuba – mit vTuner können Sie nach Ihrer bevorzugten Musikrichtung, nach Land oder Sprache durch die Welt der Internet-Sender browsen und Ihre Lieblingssender zusammenstellen. [SEP] 	291
1 9 5 7 7 3 4   K D C   1 0 2   U R[SEP]CD-Receiver mit frontseitigem USB/AUX-Eingang [SEP] Der perfekte Spielpartner für Android-Smartphones: das Autoradio KDC-102UR unterstützt die AOA 2.0 Music ControlFast 85 Prozent aller Smartphones arbeiten mit dem Android-Betriebssystem und lassen sich jetzt in Verbindung mit den neuen Kenwood CD-Receivern komfortabler und umfangreicher denn je als Zuspieler von digitalen Musikdaten einsetzen. Das hierfür verantwortliche Übertragungsprotokoll heißt AOA 2.0 („Android Open Accessory“) und ist Bestandteil des Android-OS ab Version 4.1. Es erlaubt dem KDC-102UR direkt auf die Mediendateien eines Android-Handys zuzugreifen. Damit nicht genug: Der Mediaplayer des Smartphones lässt sich sogar komfortabel über die Radiotastatur bedienen. Ob Play, Pause, Skip, nächster oder voriger Ordner, Suche nach Interpret, Album, Titel oder hinterlegten Metadaten – der KDC-102UR erlaubt praktisch die komplette Steuerung des Audioplayers. Hierzu muss das Smartphone über den USB-Port mit dem KDC-102UR verbunden sein und auf dem Telefon muss die kostenlose „Kenwood Music Play“-App installiert werden.Des Weiteren bietet das neue Ken­wood-Radio alle wichtigen Austattungsmerkmale eines modernen CD-Receivers. Der CD-Spieler versteht sich auf Audio-CDs und CD-R/RWs mit MP3- und WMA-Daten, der Tuner empfängt UKW-, MW- und LW-Sender, von denen sich bis zu 24 speichern lassen. Für einen jederzeit optimalen Klang sorgen verschiedene elektronische Schaltungen: Bass Boost und Loudness gewährleisten einen vollen Sound auch bei geringer Lautstärke, die Equalizer EQ Pro, Preset EQ und Drive EQ ermöglichen vielfältige individuelle Klang­einstellungen und die Sound Reconstruction-Technologie poliert alle digitale Musikdaten auf klanglichen Hochglanz. Das Bedienteil lässt sich abnehmen, damit Langfinger keine Chance haben, und das LC-Display ist besonders hell und kontrastreich, damit es sich auch bei Sonnenschein gut ablesen lässt. [SEP] <header>Der perfekte Spielpartner für Android-Smartphones: das Autoradio KDC-102UR unterstützt die AOA 2.0 Music Control</header><body>Fast 85 Prozent aller Smartphones arbeiten mit dem Android-Betriebssystem und lassen sich jetzt in Verbindung mit den neuen Kenwood CD-Receivern komfortabler und umfangreicher denn je als Zuspieler von digitalen Musikdaten einsetzen. Das hierfür verantwortliche Übertragungsprotokoll heißt AOA 2.0 („Android Open Accessory“) und ist Bestandteil des Android-OS ab Version 4.1. Es erlaubt dem KDC-102UR direkt auf die Mediendateien eines Android-Handys zuzugreifen. Damit nicht genug: Der Mediaplayer des Smartphones lässt sich sogar komfortabel über die Radiotastatur bedienen. Ob Play, Pause, Skip, nächster oder voriger Ordner, Suche nach Interpret, Album, Titel oder hinterlegten Metadaten – der KDC-102UR erlaubt praktisch die komplette Steuerung des Audioplayers. Hierzu muss das Smartphone über den USB-Port mit dem KDC-102UR verbunden sein und auf dem Telefon muss die kostenlose „Kenwood Music Play“-App installiert werden.</body><body>Des Weiteren bietet das neue Ken­wood-Radio alle wichtigen Austattungsmerkmale eines modernen CD-Receivers. Der CD-Spieler versteht sich auf Audio-CDs und CD-R/RWs mit MP3- und WMA-Daten, der Tuner empfängt UKW-, MW- und LW-Sender, von denen sich bis zu 24 speichern lassen. Für einen jederzeit optimalen Klang sorgen verschiedene elektronische Schaltungen: Bass Boost und Loudness gewährleisten einen vollen Sound auch bei geringer Lautstärke, die Equalizer EQ Pro, Preset EQ und Drive EQ ermöglichen vielfältige individuelle Klang­einstellungen und die Sound Reconstruction-Technologie poliert alle digitale Musikdaten auf klanglichen Hochglanz. Das Bedienteil lässt sich abnehmen, damit Langfinger keine Chance haben, und das LC-Display ist besonders hell und kontrastreich, damit es sich auch bei Sonnenschein gut ablesen lässt.</body> [SEP] 	331
1 3 6 5 3 3 9   S C D   3 8   U S B   B L U E[SEP]Tragbares UKW-Radio mit CD/MP3-Player und USB-Anschluss [SEP] 	307
1 0 2 9 7 7 7   0 3 3 8 3 2   C D   W A L L E T   N Y L O N   8 0 ,   S C H W .[SEP]Highlights- Tasche zur Archivierung von CDs/DVDs/Blu-rays- Hochwertig verarbeitete, antistatische Sleeves- Inkl. Tragegurt- Mit Schaumstoffpolsterung für maximalen Schutz beim Transport [SEP] <header>Highlights</header><body>- Tasche zur Archivierung von CDs/DVDs/Blu-rays</body><body>- Hochwertig verarbeitete, antistatische Sleeves</body><body>- Inkl. Tragegurt</body><body>- Mit Schaumstoffpolsterung für maximalen Schutz beim Transport</body> [SEP] 	295
1 7 9 3 7 2 3   R C D   1 0 2   M H   M O N S T E R   H I G H[SEP]	307
1 8 4 5 1 2 2   R X - A   7 4 0   T I T A N[SEP]7.2-Kanal AVENTAGE Netzwerk AV-Receiver mit eingebautem Wi-Fi  [SEP] <body>7.2-Kanal AVENTAGE Netzwerk AV-Receiver mit eingebautem Wi-Fi - Der Fokus des Receivers wurde auf beste Audio- und Videoqualität gesetzt. Die neueste HDMI-Version mit 4K 50/60p wird unterstützt, AirPlay, YPAO Volume sowie die Anti Resonance Technologie.</body><header>AVENTAGE AV-Receiver: Entwickelt um das höchste Maß an Audioleistung zu erreichen</header><body>Die hochwertige AVENTAGE AV-Receiver-Serie hat das Ziel massive und satte Klangeffekte für Film zu liefern sowie die detailgenaue Wiedergabe von Musikquellen. Die Zusammenführung traditioneller und neuwertiger Technologien, von Materialien und Bauteilen zur Konstruktion, Aufbau, Vibrationsdämpfung (A.R.T. Wedge) und dem Feintuning des Klangs, erfolgte nur vor dem Aspekt die bestmögliche Audioqualität zu erreichen. Das Ergebnis sehen Sie in jedem AVENTAGE-Modell, das die Fähigkeiten besitzt einen einzigartigen, detailreichen HD Klang zu liefern. Jeder seiner Zuhörer kann mit diesen AVENTAGE-Modellen auch Zuhause eine echte High-Class Studio Erfahrung machen und erleben.</body><header>Netzwerkfunktionen</header><body>Der AV-Receiver unterstützt eine Auswahl an Netzwerkfunktionen und ermöglicht Ihnen den Zugriff auf zusätzliche Quellen. Sie können den Receiver mit Ihrem Heimnetzwerk verbinden, um Internetradio, Napster®*, Spotify®*, zu nutzen. Die Steuerung über einen Web Browser ist möglich. Mithilfe der neuen AV Controller App können Sie auch mit Ihrem iPod, iPhone, iPad oder Android-Gerät diverse Funktionen des Receivers steuern.</body> [SEP] 	237
1 9 9 4 3 7 1   I H P   1 4 5 0   P I   P I N K[SEP]	311
1 9 6 4 8 5 6   N W A V E   3 6 0   ( P A A R )[SEP]aktiver Desktoplautsprecher1 Paar [SEP] Die aktiven Desktoplautsprecher N-Wave 360 überzeugen auf kleinem Raum mit einem satten Sound. Die 2-Wege Monitore verfügen jeweils über einen 1” Seidenhochtöner und einen 3” Woofer. Der integrierte Verstärker versorgt die Lautsprecher mit 60 Watt Leistung. Für eine ungestörte Performance sind die Lautsprecher magnetisch gegen Einstreuungen abgeschirmt. [SEP] 	259
2 0 4 5 7 3 8   1 3 7 0 2 5   I S P O R T   S T R I V E   I N E A R   H D P   U C T   B L U E[SEP]Ab sofort setzt sich deine Lieblingsmusik mit dir in Bewegung! Der iSport Strive hält dank patentiertem SportClip optimal im Ohr und liefert puren Monster Sound. Der InEar Kopfhörer kann ohne Probleme auch unter Helmen oder Brillen getragen werden. [SEP] 	749
